"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"4488","102% Nice in last night!
Playoff Moments for 💪 Eric Gordon &amp; P.J Tucker 💪

Did you get them ? #NBAPlayoffs  #NBA2K18 https://t.co/YDjAR3jhRC",FALSE,2,NA,2018-05-18 02:33:01,FALSE,NA,"997304018345996288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NBAMTCOIN_COM",0,FALSE,FALSE,NA,NA
"4489","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:32:12,FALSE,NA,"997303811088797696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","r_cannon10",3241,TRUE,FALSE,NA,NA
"4490","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:31:41,FALSE,NA,"997303682357252100",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FinesseGodMo",3241,TRUE,FALSE,NA,NA
"4491","Tomorrow on @1stsports, #Charlotte #Nascar preview, #NBAPLAYOFFS chat w/@SnottieDrippen, #Preakness preview w/… https://t.co/4FPeArvu9B",FALSE,1,NA,2018-05-18 02:31:18,TRUE,NA,"997303584160075777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fox1340AM",0,FALSE,FALSE,NA,NA
"4492","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:30:54,FALSE,NA,"997303484427878400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kshyann6",3241,TRUE,FALSE,NA,NA
"4493","RT @NBA: Eric Gordon drops 27 PTS (6 3PM) off the bench for the @HoustonRockets in their Game 2 victory! 

#Rockets #NBAPlayoffs https://t.…",FALSE,0,NA,2018-05-18 02:30:54,FALSE,NA,"997303483702231040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","perlavhernandez",220,TRUE,FALSE,NA,NA
"4494","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:30:40,FALSE,NA,"997303427125293056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","buburbulat",3241,TRUE,FALSE,NA,NA
"4495","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:30:17,FALSE,NA,"997303330270535680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mike_VittJr",3241,TRUE,FALSE,NA,NA
"4496","RT @CLNS_Nick: Daily Celtics Newsfeed: Jayson Tatum a superstar in the making? Paul Pierce thinks so! Jaylen Brown is game 3 ready #celtics…",FALSE,0,NA,2018-05-18 02:29:36,FALSE,NA,"997303158064984064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","REALLY_TC",2,TRUE,FALSE,NA,NA
"4497","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:29:35,FALSE,NA,"997303154696998912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nauticadash",3241,TRUE,FALSE,NA,NA
"4498","Daily Celtics Newsfeed: Jayson Tatum a superstar in the making? Paul Pierce thinks so! Jaylen Brown is game 3 ready… https://t.co/0K5KaddX7o",FALSE,1,NA,2018-05-18 02:28:37,TRUE,NA,"997302910173237248",NA,"<a href=""http://libsyn.com/3/"" rel=""nofollow"">Libsyn On-Publish</a>","CLNS_Walsh",1,FALSE,FALSE,NA,NA
"4499","Daily Celtics Newsfeed: Jayson Tatum a superstar in the making? Paul Pierce thinks so! Jaylen Brown is game 3 ready… https://t.co/6cvfUX2VXb",FALSE,0,NA,2018-05-18 02:28:37,TRUE,NA,"997302910080995328",NA,"<a href=""http://libsyn.com/3/"" rel=""nofollow"">Libsyn On-Publish</a>","CLNS_Prescott",0,FALSE,FALSE,NA,NA
